,ProductID,ProductBrand,Gender,Price,NumImages,PrimaryColor,ProductType
0,10017413,DKNY,Unisex,129.2,7, Black,Bag
1,10016283,EthnoVogue,Women,63.91,7, Beige,Jacket
2,10009781,SPYKAR,Women,9.89,7, Pink,Jeans
3,10015921,Raymond,Men,61.59,5,Blue,Suit
4,10017833,Parx,Men,8.35,5, White,Shirt
5,10014361,SHOWOFF,Men,8.7,5, Brown,Shorts
6,10017869,Parx,Men,7.91,5,Blue,Shirt
7,10009695,SPYKAR,Women,9.89,7, Burgundy,Jeans
8,10000571,Parx,Men,7.3,5, Red,Trousers
9,10017421,DKNY,Unisex,190.96,5, Black,Bag
10,10000911,Kenneth Cole,Women,27.09,5,Blue,Backpack
11,10000245,Parx,Men,6.92,5, Green,T-shirt
13,10016727,Vishudh,Women,9.81,4, Maroon,Palazzos
14,10017749,Parx,Men,8.27,5, Red,Shirt
15,1000795,Being Human,Men,11.87,6, Navy,Shirt
16,10003803,Homesake,Unisex,17.82,5, White,Shade
17,10012765,SEJ by Nisha Gupta,Unisex,9.89,4,Blue,Placemats
18,10014413,YAK YAK,Men,6.59,5, Brown,T-shirt
19,10013483,PARFAIT,Women,19.24,3, Red,P5252
21,10004155,HIGHLANDER,Men,7.69,5, Black,Shirt
22,10012795,SEJ by Nisha Gupta,Unisex,9.89,4, Red,Placemats
23,10009723,SPYKAR,Women,13.19,7,Blue,Jeans
24,10012853,JEWEL JUNCTION,Men,5.93,5, Gold,Cufflinks
25,10006001,ID,Men,26.24,5, Brown,Sandals
26,10017377,Story@home,Unisex,13.19,4, Red,Covers
27,10015839,Raymond,Men,11.87,5,Blue,Shirt
28,10003123,Gini and Jony,Boys,7.69,3,Blue,Shirt
30,10013041,Sera,Women,15.81,5,Blue,Palazzos
31,10014831,AccessHer,Women,10.77,3, Pink,Tikka
32,10017831,Parx,Men,8.57,5,Blue,Shirt
33,10002713,Alcis,Women,8.24,6,Blue,Tights
34,10006029,ID,Men,10.52,5, Brown,Slip-Ons
35,10005903,Difference of Opinion,Men,5.49,5,Blue,Detail
37,10002151,Michael Kors,Men,47.02,2,Blue,ml
38,10015989,Tokyo Talkies,Women,5.49,5, White,Dress
40,10004151,HIGHLANDER,Men,7.69,5,Blue,Shirt
41,10007705,her by invictus,Women,11.48,6, Brown,Mules
42,10006041,ID,Men,29.53,5, Beige,Derbys
43,10009621,SPYKAR,Women,12.36,7,Blue,Jeans
44,10009681,SPYKAR,Women,10.88,7,Blue,Jeans
45,10017569,Soie,Women,8.25,4, Red,CB-331NUDE
46,10001251,Lara Karen,Women,21.99,5, Black,Skirt
47,10003199,Gini and Jony,Girls,17.81,3, Yellow,Dress
48,10017405,Story@home,Unisex,13.19,4,Blue,Covers
49,10013687,PARFAIT,Women,13.08,2,Blue,2801
50,10015163,Urban Dog,Men,4.39,5, Grey,Shorts
51,1000710,ahilya,Women,107.32,5, Red,Bangle
52,10013541,PARFAIT,Women,17.7,2,Blue,P5441
53,10002833,VASTRAMAY,Boys,16.16,3,Blue,Jacket
54,10005915,Difference of Opinion,Men,5.49,5, Grey,T-shirt
55,10002707,Campus Sutra,Men,5.27,5,Blue,Shirt
56,10012433,FIDO DIDO,Men,4.94,5, White,T-shirt
57,10012699,MIAH Decor,Unisex,16.16,5, Black,Bowls
58,10012851,JEWEL JUNCTION,Men,5.93,5, Gold,Cufflinks
59,10016755,Vishudh,Women,14.29,5, Green,Dress
60,10015159,Urban Dog,Men,4.39,5, Grey,Shorts
61,10013655,PARFAIT,Women,5.49,3,Blue,PP303
62,10012821,SEJ by Nisha Gupta,Unisex,9.89,4,Blue,Placemats
